ISO,AF,AL,AO,AR,AM,AZ,BD,BJ,BO,BA,BR,BG,BF,BI,CI,KH,CM,CF,TD,CL,CN,CO,CG,CD,CR,DO,EC,EG,SV,ET,FJ,GM,GE,GH,GT,GN,HT,HN,ID,IQ,JO,KZ,KE,XK,KG,LA,LB,LR,MK,MG,MW,ML,MX,MD,MN,ME,MA,MZ,NI,NE,NG,PK,PS,PA,PG,PY,PE,PH,PL,RO,RU,RW,WS,SN,RS,SL,SS,LK,SY,TJ,TZ,TH,TL,TG,TO,TT,TN,TR,UG,UA,UZ,VE,VN,YE,ZM,AT,BE,CH,DE,EE,ES,FI,FR,GR,HR,HU,IE,IT,LI,LT,LV,MT,NL,NO,PT,SE,SI,SK,GB
AF,0,0.955217679,0.979197469,0.956723451,0.95106223,0.856598709,0.601205447,0.999922895,0.972698082,0.955426017,0.95587186,0.934876082,0.999396323,1,0.999858739,1,1,0.999889868,1,0.9563866,0.998933611,0.956148864,0.99988959,1,0.95597095,0.95576677,0.959058091,1,0.95571159,1,0.818110203,0.999224533,0.978391967,0.991986196,0.969945283,1,0.955711899,0.956415529,1,0.88210663,1,0.879448043,0.999453768,0.951336384,0.856463499,1,0.978100835,1,0.945124954,0.999708893,1,0.999947547,0.957908577,0.950358507,0.998131166,0.952551115,0.999909672,0.994582358,0.956635038,1,1,0.57746565,1,0.959857933,0.99708712,0.995387339,0.964017301,0.999726372,0.955886907,0.954086734,0.949577756,1,0.995783978,0.99974321,0.95009668,0.992432801,1,0.690476367,0.96006697,0.477716383,0.998018426,1,1,1,0.99946833,0.953628273,1,0.823331356,1,0.955299544,0.83434377,0.95635212,1,0.993975692,0.999253356,0.95316057,0.95496298,0.952614962,0.952595519,0.988696515,0.956879501,0.996024217,0.95757148,0.954117259,0.954798571,0.99751141,0.955831046,0.955863119,0.955708081,0.955754545,0.954473529,0.993923388,0.952053563,0.953895696,0.955803878,0.949940732,0.955274729,0.951923693,0.948655298
AL,0.955217679,0,0.973739909,0.945889943,0.944946888,0.997855024,0.944015069,0.999902666,0.965538522,0.943363119,0.944303797,0.947711532,0.999237947,1,0.99982168,1,1,0.999860975,1,0.944945021,1,0.944644483,0.999860624,1,0.944424304,0.944163038,0.948319601,1,0.94409249,1,0.974077617,0.999023971,0.993960253,0.989952904,0.962060403,1,0.944092879,0.944982587,1,0.986613167,1,0.984878717,0.999923209,0.118959309,0.994362159,1,0.997068396,1,0.726615732,0.999632521,1,0.999933786,0.946866979,0.945783372,0.999901694,0.893794056,0.999885974,0.993161036,0.945259401,1,1,0.945106744,1,0.949355029,0.996348053,0.994182873,0.95457721,0.999654585,0.943557684,0.947191412,0.950079513,1,0.994714273,0.999675841,0.944333368,0.990512823,1,0.956670136,0.995153321,0.951447144,0.999721425,1,1,1,0.999333432,0.944518826,1,0.99319852,1,0.944314751,0.990145843,0.944901063,1,0.999153086,0.999536952,0.943214723,0.945385379,0.928358136,0.944708702,0.985536156,0.945553621,0.99648942,0.947644871,0.936390637,0.940105703,0.999318224,0.944602521,0.943225229,0.944465807,0.943460674,0.943807699,0.992349234,0.948575144,0.944540488,0.944205314,0.942452427,0.940542803,0.94869171,0.9456767
AO,0.979197469,0.973739909,0,0.680789944,0.974138496,0.999003343,0.974100846,0.940531724,0.793467368,0.973965731,0.547402734,0.975869336,0.951042339,0.797679684,0.960482201,1,0.922222483,0.941510669,0.99572376,0.666345137,1,0.664170485,0.765457616,0.798790308,0.666422227,0.663733624,0.688624338,1,0.660821665,1,0.988021757,0.98197111,0.997221421,0.948911148,0.769828968,0.987871507,0.765185866,0.66742416,1,0.99378085,1,0.992756756,0.875676977,0.974194886,0.997402191,1,0.997997876,0.972866337,0.974373172,0.99845656,0.797938065,0.991217033,0.678565857,0.870422169,0.999954741,0.973939945,0.999521082,0.765775426,0.668873361,0.998242875,0.931031084,0.974588107,1,0.715847729,0.998284,0.965132562,0.724430115,0.997904446,0.97401264,0.856181886,0.977017742,0.797695644,0.997516309,0.974838084,0.974201124,0.984431968,0.994619043,0.979955382,0.997748368,0.977444965,0.808527981,1,1,0.94080671,0.999686789,0.97315412,1,0.996841939,0.864333613,0.973307646,0.995453678,0.664614611,1,0.99960876,0.791993727,0.973630944,0.891690434,0.897533063,0.971317012,0.99334103,0.67775058,0.998356909,0.781197165,0.972184681,0.970983818,0.999502179,0.973979731,0.813230035,0.972119821,0.973934664,0.974101361,0.977526078,0.973281508,0.973046223,0.537499839,0.971611108,0.973755597,0.976377966,0.97197346
AR,0.956723451,0.945889943,0.680789944,0,0.946703007,0.997941207,0.945935559,0.999173387,0.43060217,0.946351032,0.340849428,0.950246978,0.993456372,1,0.998422617,1,0.999461392,0.99848046,0.996012255,0.080440755,1,0.074436895,0.998798229,1,0.080809866,0.076172053,0.141825148,0.983086031,0.065207378,0.991838266,0.974939389,0.992795048,0.994267645,0.989607216,0.36563701,1,0.525204444,0.083456867,1,0.975314712,0.980758513,0.985040589,0.999368636,0.946816361,0.994641987,1,0.975116595,1,0.94718836,0.996879156,1,0.998848558,0.11415122,0.735690645,0.999906737,0.946291042,0.985919988,0.916867534,0.087443534,0.994999057,0.998371739,0.946983488,0.980626076,0.217937631,0.996191325,0.919895518,0.240348455,0.995170561,0.946423872,0.706709592,0.952639166,1,0.994450848,0.996549916,0.946840707,0.990124995,0.999923575,0.958156575,0.976086131,0.953084268,0.999619624,1,1,1,0.999300212,0.940269394,0.98291199,0.993038028,1,0.94502344,0.990610784,0.080903277,1,0.982501143,0.999513607,0.942601556,0.77622193,0.791265399,0.933171778,0.986278118,0.148074372,0.996467426,0.55851098,0.942735825,0.940240058,0.998938625,0.942094242,0.602257762,0.939338858,0.946288167,0.946628579,0.935775809,0.939994223,0.941966741,0.328523686,0.93659864,0.945888695,0.951303097,0.938162757
AM,0.95106223,0.944946888,0.974138496,0.946703007,0,0.97979809,0.940848775,0.999904144,0.966058522,0.939493354,0.945140326,0.943884686,0.999249514,1,0.999824386,1,1,0.999863085,1,0.945780245,0.999963257,0.945484695,0.999862739,1,0.945263514,0.945009679,0.949101417,1,0.94494108,1,0.972675148,0.999035947,0.992898513,0.990037317,0.962636268,1,0.944941463,0.94581621,1,0.984347994,1,0.979799473,0.99991898,0.94525383,0.989272737,1,0.996652061,1,0.942927115,0.999638099,1,0.999934791,0.947672352,0.946022262,0.999830088,0.939755835,0.999887705,0.993264841,0.946089102,1,1,0.941766096,1,0.950095773,0.996378736,0.994265585,0.955266658,0.999659828,0.939622802,0.948612716,0.940419497,1,0.994758682,0.999680761,0.941859955,0.990592532,1,0.954219982,0.994405691,0.947302849,0.999706083,1,1,1,0.999339032,0.944964324,1,0.987386681,1,0.939284663,0.985058916,0.94573738,1,0.999106444,0.99953705,0.946015829,0.945912292,0.945393605,0.946938936,0.984090704,0.946351133,0.996441337,0.948394076,0.945277093,0.939856573,0.999302097,0.944983344,0.945129459,0.944936717,0.93966838,0.939602071,0.992445615,0.948835194,0.9463623,0.94503083,0.947393529,0.939685133,0.945112559,0.94599197
AZ,0.856598709,0.997855024,0.999003343,0.997941207,0.97979809,0,0.993544439,0.999996306,0.998691955,0.986786825,0.997885804,0.924273259,0.999971078,1,0.999993232,1,1,0.999994724,1,0.997910465,0.9948222,0.997899075,0.99999471,1,0.997890552,0.997880769,0.998038458,1,0.997878125,1,0.997045599,0.999962847,0.928999923,0.999616056,0.998560067,1,0.99787814,0.997911851,1,0.945386638,1,0.479296825,0.999991158,0.988452809,0.360072507,1,0.999586318,1,0.960078077,0.999986053,1,0.999997487,0.997983384,0.961199796,0.991270511,0.98745396,0.999995672,0.999740439,0.997922368,1,1,0.988995,1,0.998076778,0.999860443,0.999779006,0.998276055,0.99998689,0.986846416,0.996148019,0.938082242,1,0.999798009,0.999987697,0.983116671,0.999637453,1,0.995003726,0.99330106,0.897365768,0.999967923,1,1,1,0.999974527,0.997854028,1,0.312895699,1,0.978992741,0.410338701,0.997908813,1,0.99990248,0.999977709,0.979911458,0.992489277,0.990695335,0.983795766,0.995816745,0.997850412,0.999713271,0.992775878,0.997658124,0.987077491,0.999935071,0.997671984,0.997885385,0.997877957,0.987276549,0.984984211,0.999708867,0.982604824,0.995901314,0.997831755,0.994186308,0.986885171,0.988134608,0.996358685
BD,0.601205447,0.944015069,0.974100846,0.945935559,0.940848775,0.993544439,0,0.999904004,0.966009108,0.944333051,0.94506046,0.927468012,0.999248422,1,0.999824131,0.999318195,0.999929241,0.999862886,1,0.94570131,0.999722231,0.945405329,0.99986254,1,0.945183827,0.944929623,0.949027317,1,0.944860923,1,0.700391644,0.999034543,0.988371588,0.990022813,0.962581872,1,0.944861307,0.945737328,0.999997547,0.881709932,1,0.983338971,0.999100162,0.939993552,0.990342156,0.999809508,0.975440791,1,0.935425505,0.999637572,1,0.999934696,0.947596172,0.945564071,0.999900137,0.939474114,0.999887541,0.993255035,0.946010616,1,1,0.386252461,1,0.950018376,0.996373464,0.994257237,0.955201534,0.999655177,0.945079193,0.941321311,0.94954012,1,0.994750742,0.999680297,0.935861043,0.990578836,1,0.491659322,0.957173288,0.573361516,0.996735643,0.99995015,1,1,0.99933807,0.941307718,1,0.942150109,1,0.945820935,0.972385583,0.945658383,0.999364868,0.990072559,0.998898933,0.945846793,0.945219743,0.942398738,0.944443325,0.985927159,0.946314972,0.994844557,0.948356317,0.942425914,0.94318569,0.996018801,0.945009646,0.945049577,0.944856554,0.944914402,0.943159474,0.992434617,0.943348642,0.943006779,0.944975822,0.940195935,0.944022845,0.936538754,0.931212449
BJ,0.999922895,0.999902666,0.940531724,0.999173387,0.999904144,0.999996306,0.999904004,0,0.999469784,0.999903503,0.999149108,0.999910559,0.872432892,0.886730138,0.820890086,1,0.946080756,0.896504929,0.990165797,0.999143791,1,0.999138244,0.888047753,0.899947988,0.999143679,0.999124389,0.999200787,1,0.999129651,1,0.999955602,0.94927972,0.999989701,0.73922009,0.999409369,0.954284263,0.998646133,0.999146478,1,0.999976949,1,0.999973153,0.930416972,0.999904353,0.999990371,1,0.999989911,0.944632871,0.999905014,0.999988558,0.886874793,0.973538481,0.999175096,0.999519717,0.999999832,0.999903408,0.99999645,0.900924627,0.999150219,0.987765746,0.91230757,0.99990581,1,0.999268639,0.99999364,0.99992083,0.999292873,0.999994623,0.999903677,0.999466935,0.999914816,0.886739073,0.999990794,0.916266995,0.999904376,0.975732683,0.989394253,0.999925704,0.999991654,0.999916399,0.892875172,1,1,0.67894929,0.999998839,0.999900385,1,0.999988295,0.924046615,0.999901064,0.999983149,0.999142238,1,0.99999855,0.88809285,0.999901721,0.999148853,0.999465137,0.999894846,0.999975318,0.999166706,0.99999391,0.998446623,0.999893754,0.999891332,0.999998155,0.999903555,0.999296313,0.999896662,0.999903388,0.999904006,0.999865303,0.999903486,0.999902164,0.999138108,0.999898884,0.999902725,0.999912444,0.999896768
BO,0.972698082,0.965538522,0.793467368,0.43060217,0.966058522,0.998691955,0.966009108,0.999469784,0,0.965831779,0.573634537,0.968332984,0.995848781,1,0.999028614,1,1,0.999242672,1,0.401128034,1,0.397359853,0.99924076,1,0.401514339,0.398568058,0.428569024,1,0.391350455,1,0.984259945,0.995339808,0.996353302,0.993311619,0.586962139,1,0.69545058,0.403236651,1,0.991837785,1,0.990443686,0.999953442,0.96613253,0.996590551,1,0.99738347,1,0.966375575,0.997998188,1,0.999639306,0.423221017,0.831756458,0.999940601,0.965797937,0.999378853,0.946212324,0.405829916,1,1,0.966648605,1,0.490826331,0.997568888,0.944520493,0.4729328,0.996865837,0.965883606,0.813322885,0.969837337,1,0.996481276,0.997905234,0.966154126,0.993684359,1,0.973692791,0.997044884,0.970398039,0.999831102,1,1,1,0.999556264,0.961828271,1,0.995855258,1,0.964986442,0.994033259,0.401593888,1,0.999486524,0.999696936,0.963153825,0.857749682,0.867124359,0.960375232,0.991260551,0.44607539,0.997750336,0.71740163,0.963524574,0.961971925,0.999341098,0.963272832,0.757461419,0.961198236,0.965791005,0.966009784,0.968301917,0.963187075,0.962810488,0.565571298,0.959357111,0.965560856,0.968997674,0.960757342
BA,0.955426017,0.943363119,0.973965731,0.946351032,0.939493354,0.986786825,0.944333051,0.999903503,0.965831779,0,0.944773842,0.265970287,0.999244501,1,0.999823213,1,1,0.99986217,1,0.945418035,1,0.945120511,0.999861822,1,0.944897852,0.944642322,0.948761394,1,0.944573264,1,0.974232195,0.999029506,0.929193375,0.989970762,0.962386663,1,0.94457365,0.945454241,1,0.986675111,1,0.806189477,0.999923672,0.915096411,0.929605554,1,0.997082642,1,0.417840059,0.999635681,1,0.999934356,0.947322783,0.836817133,0.998655267,0.096658193,0.999886955,0.993219847,0.945728955,1,1,0.945409003,1,0.949762393,0.996354544,0.994227277,0.954967822,0.999657556,0.230643927,0.946618823,0.325533245,1,0.994723668,0.999678629,0.107247666,0.990529686,1,0.956916338,0.995175747,0.947818141,0.999723104,1,1,1,0.999334617,0.944619883,1,0.989181215,1,0.243939524,0.894282071,0.945374884,1,0.999158191,0.999538029,0.902840168,0.940357774,0.923727064,0.929351288,0.802148954,0.941019491,0.989623445,0.948086893,0.932843762,0.077463432,0.998092083,0.931017896,0.944762902,0.944568872,0.273788908,0.271705801,0.992395149,0.947583864,0.922848183,0.941895944,0.939930727,0.119172782,0.314189831,0.936743929
