rowid;inst_name_full;country.name;year;region;inst_type;mfiname;asofdate;inst_num;year_founded;permfi;mfiid;diamonds;assets;numborrs;numborrsind;numborrsgrp;numborrsshg;numloans;numloansind;numloansgrp;numloansshg;loanport;loanportind;loanportgrp;loanportshg;avgbalnc;avgbalncpinc;avgloanpbpinc;oss;frpa;fepa;oepa;cpb;cpl;par30;par90;writeoffratio;loanlossrate;maxdiamonds;regular_case;log_par30;log_par90;age;share_grp;log_avg_loan;log_ass_loan;log_numborrs;wdi_gdpgrowth;wdi_rural;wdi_laborforce;wdi_fdi;wdi_manufac;wdi_agricul;wdi_remittances;wdi_gini;wdi_inflation;wdi_privcredit;wdi_bankdens;wdi_atmdens;db_getcredit;db_enfcontract;db_registprop;wgi_cor;wgi_eff;wgi_reg;wgi_acc;wgi_law;wgi_sta;wdi_gdp;wdi_gdp_sq;swiid_gini;hdi;hdi_sq;efi_score;fgi_econ;fgi_ineq;cooperation;coop_srvy_years
1;"""GLOBAL CREDIT"" Universal Credit Organization";Armenia;2011;Eastern Europe and Central Asia;Credit Union/Cooperative;Global Credit;2011-12-31;408;2010;1;149980;4;8564507,93;713;0;0;0;785;722;63;0;8026547,75;6732863,220;1293684,54000;0,00;10224,90;2,9777;3,2784;1,5129;0,1602;0,0701;0,0351;NA;NA;0,001300;0,000600;0,0000;0,0000;4;TRUE;-6,64539101451464642;-7,4185809027481282;1;1,61175709694121e-01;9,23258135664529;6,48721624071597e-02;6,56948142041430;5,31901835183820015;36,66000000000000;69,313;6,440668367053620;10,56847933437687;20,325348252764677;17,7342235057517996;29,4;7,6500080785928999;35,36788787203500;19,979787187217099;43,5412640861814992;68,8;58,5;92,9;-0,66455942392349199;-0,108996279537678001;0,246940597891808000;-0,690779805183410978;-0,43770641088485701;-0,063868984580040006;9551,15813085673;91224621,64063060;35,7;0,750;0,562500;69,70000000;5,3;6,2;8,82636337247188;"2008; 2011; 2018; 2021"
2;"""GLOBAL CREDIT"" Universal Credit Organization";Armenia;2012;Eastern Europe and Central Asia;Credit Union/Cooperative;Global Credit;2012-12-31;408;2010;1;149980;4;13369812,68;1088;0;0;0;1088;730;358;0;12634421,92;5007681,250;7626740,67000;0,00;11612,52;3,3818;3,3818;1,3915;0,1587;0,0783;0,0291;347,9743;322,1502;0,004100;0,003300;0,0000;0,0000;4;TRUE;-5,49676830527187477;-5,7138328105097029;2;6,03647774175330e-01;9,35983911806645;5,65743930264352e-02;6,99209642741589;7,73537083449029961;36,76000000000000;69,308;4,676727877655670;9,42475853227752;17,912681952639701;18,0330189489985990;29,6;2,5580200775790698;40,06005510466670;21,278886950528701;50,3973638301997013;75,0;50,7;92,9;-0,58800148963928200;-0,026902403682470301;0,334273397922515980;-0,570491433143615945;-0,41828197240829501;0,154794976115226995;10289,97563126710;105883598,49207075;36,1;0,755;0,570025;68,80000000;5,6;5,9;8,82636337247188;"2008; 2011; 2018; 2021"
3;ABC Capital S.A. Institución de Banca Múltiple;Mexico;2010;Latin America and The Caribbean;Bank;ABC Capital;2010-12-31;4;2007;1;102942;3;56495498,14;3438;0;0;0;3772;2473;1299;0;14833367,99;14538958,100;294409,89000;0,00;3932,49;0,3764;0,4129;0,1762;0,0526;0,0283;0,2402;4046,8715;NA;0,064700;0,063800;0,0000;-0,0092;4;TRUE;-2,73799407747528223;-2,7520020886313930;3;1,98478113802933e-02;8,27702915111678;1,33728171913396e+00;8,14264518594280;3,73285194759217998;22,18500000000000;63,625;2,885676013579310;15,56167934953150;3,219154476154950;2,0873730488114801;47,2;4,1567272268017597;23,32882152813520;14,089836534147899;45,1702851614064969;NA;NA;NA;-0,43974813818931602;0,099259831011295305;0,156337782740593012;0,178501576185225996;-0,55203133821487405;-0,726463437080382968;18036,71758850790;325323181,36759031;46,0;0,746;0,556516;68,30000000;6,5;8,0;7,67500545932142;"2000; 2005; 2012; 2018"
4;ABS-CBN Bayan Foundation, Inc.;Philippines;2008;East Asia and the Pacific;NGO;ABS-CBN;2008-12-31;5;1997;1;101109;4;6547272,62;39991;0;39991;0;39991;0;39991;0;5196340,75;0,000;5196340,75000;0,00;129,94;0,0764;0,0764;0,8240;0,5114;0,0247;0,4790;110,1045;110,1045;0,181400;0,115400;0,0665;0,0665;4;TRUE;-1,70705074130110090;-2,1593509249081380;11;1,00000000000000e+00;4,86705552613439;2,31093893088133e-01;10,59640970777978;2,41093432953198006;54,54500000000000;62,715;0,737800788965931;23,26866767775520;14,516074757313399;10,3789215725364006;NA;8,2604470359572595;27,87606106091570;7,567193169970900;13,1723953966144993;25,0;50,6;62,9;-0,77809512615203902;0,062923483550548595;-0,079146675765514402;-0,138752609491347989;-0,55022186040878296;-1,779236316680909979;5596,91304505301;31325435,63388456;41,9;0,668;0,446224;55,96329499;5,9;7,6;7,01363085228845;"2001; 2012; 2019"
5;ACAD Finance;Palestinian Territories;2008;Middle East and North Africa;NBFI;ACAD;2008-12-31;7;1995;1;100567;4;3532750,00;2542;2542;0;0;2542;2542;0;0;2529741,00;2454470,000;0,00000;0,00;995,18;0,4910;0,4910;1,1314;0,1377;0,0000;0,1816;282,2102;NA;0,310400;0,189100;0,0000;-0,0190;4;TRUE;-1,16989349067307336;-1,6654793033177251;13;0,00000000000000e+00;6,90292103217248;3,33959678523116e-01;7,84070645174940;4,51371143942183028;26,29600000000000;40,853;0,704585248413220;10,92005909389360;10,128036769533800;10,1324738114759008;NA;9,8899978869185308;17,57291999439160;10,406858859812701;11,8371854329623005;6,3;50,1;70,0;-0,44031950831413302;-1,273423552513119894;-1,120842099189760077;-0,862080752849578968;-0,75887727737426802;-1,990429997444149945;4965,37294950639;24654928,52768978;37,7;0,677;0,458329;NA;NA;NA;8,32436957711939;2013
6;ACAD Finance;Palestinian Territories;2009;Middle East and North Africa;NBFI;ACAD;2009-12-31;7;1995;1;100567;3;3919736,00;3059;3059;0;0;3059;3059;0;0;3194963,00;3194486,000;0,00000;0,00;1044,45;0,4610;0,4610;0,9749;0,1914;0,0171;0,1997;265,7218;265,7218;0,366900;0,265500;0,0000;-0,0157;4;TRUE;-1,00266594762090078;-1,3261404383001434;14;0,00000000000000e+00;6,95124272098113;2,04448797427925e-01;8,02584334415090;5,73457681316152001;26,07700000000000;41,056;3,716041901134100;10,77581409154430;10,021395797519100;9,3403899213332195;34,5;2,7539348508315098;19,53363220723000;10,873869758581099;14,4826649623022998;25,0;50,1;70,5;-0,10842499136924701;-0,675499498844146951;-0,209515675902366999;-0,953719019889831987;-0,31480073928833002;-2,043331146240229934;5250,11607535578;27563718,80470917;37,8;0,682;0,465124;NA;NA;NA;8,32436957711939;2013
7;ACAD Finance;Palestinian Territories;2010;Middle East and North Africa;NBFI;ACAD;2010-12-31;7;1995;1;100567;4;4644356,00;3389;0;0;0;3389;3389;0;0;3901414,00;3761117,000;0,00000;0,00;1151,20;0,4742;0,4742;1,1368;0,1838;0,0151;0,1816;241,1473;241,1473;0,150700;0,108200;0,0000;-0,0090;4;TRUE;-1,89246417334968720;-2,2237739125697562;15;0,00000000000000e+00;7,04855943788491;1,74313667423286e-01;8,12829017160705;3,06565425625400989;25,85100000000000;41,602;1,858607114522460;12,22950988999640;9,002737179156121;9,5764022790779002;35,3;3,7491572759709801;21,35953044404280;10,527019196706100;15,3328323082458002;25,0;52,8;71,4;-0,11348947882652299;-0,373958826065062977;0,213046863675116993;-0,823600351810454989;-0,20930157601833299;-1,973575472831730071;5411,06648227820;29279640,47563457;37,9;0,687;0,471969;NA;NA;NA;8,32436957711939;2013
8;ACAD Finance;Palestinian Territories;2014;Middle East and North Africa;NBFI;ACAD;2014-12-31;7;1995;1;100567;2;7135468,00;2747;0;0;0;2747;2745;2;0;5384095,00;5363095,000;21000,00000;0,00;1959,99;0,6254;0,6254;0,6949;NA;NA;NA;NA;NA;0,082000;0,050700;NA;NA;4;TRUE;-2,50103603171788391;-2,9818293683849997;19;3,90037694357181e-03;7,58069510892946;2,81628603868638e-01;7,91826468609527;-2,47102630481803986;24,88700000000000;43,821;1,141637528600630;10,75076663545320;7,835050072553380;12,8990789262009997;NA;1,7329851003745100;27,32467960470920;11,040097634608900;22,0400494596374017;37,5;54,5;68,5;-0,28354814648628202;-0,488269746303558017;0,205778598785400002;-0,881757915019989014;-0,38338771462440502;-1,985010862350460092;5967,07343700875;35605965,40265542;38,3;0,698;0,487204;NA;NA;NA;8,32436957711939;2013
9;ACTUAR Famiempresas - Tolima;Colombia;2013;Latin America and The Caribbean;NGO;Actuar Tolima;2013-12-31;64;1986;1;100659;4;7668295,29;9090;0;0;0;9392;9392;0;0;6545160,32;6545160,320;0,00000;0,00;696,89;0,0918;0,0949;1,1922;0,3650;0,0408;0,2457;211,4808;204,5608;0,054500;0,032100;0,0315;0,0226;5;TRUE;-2,90955457731293876;-3,4388992488461669;27;0,00000000000000e+00;6,54662290999264;1,58368439735360e-01;9,11493018717152;4,09826590865887042;20,93900000000000;72,896;4,242275614389170;12,66235630373080;5,392714954494730;1,1645234097697801;52,6;2,0169922431037799;39,48369169134580;15,663376192494400;39,5166586014627015;56,3;36,2;73,8;-0,44105258584022500;0,055446788668632500;0,339824229478836004;-0,081278838217258495;-0,38794946670532199;-1,291971802711489925;13465,07504365260;181308245,93119606;49,0;0,746;0,556516;69,60000000;3,8;8,1;8,51709960356755;"1998; 2012; 2018"
10;ACTUAR Famiempresas - Tolima;Colombia;2014;Latin America and The Caribbean;NGO;Actuar Tolima;2014-12-31;64;1986;1;100659;1;6982182,78;9676;0;0;0;10031;10031;0;0;5949203,60;5949203,600;0,00000;0,00;593,08;0,0781;0,0810;1,1924;0,4121;0,0619;0,2726;212,8490;205,6492;0,035500;0,013800;0,0352;0,0235;5;TRUE;-3,33822258250076720;-4,2830866868189776;28;0,00000000000000e+00;6,38533234294029;1,60104225226032e-01;9,17740387172992;3,51395347912818989;20,58500000000000;73,130;4,242505359947030;12,26931864208160;5,446957214744200;1,0930461034452199;52,6;2,8988378776173800;42,38460569700130;15,647207588370200;40,9684738164189994;56,3;37,7;74,0;-0,39717924594879200;-0,137135624885558999;0,444412022829056008;-0,043301202356815303;-0,25197598338127097;-1,114594101905820089;13938,23151661620;194274297,81079316;48,6;0,750;0,562500;70,70000000;4,1;7,8;8,51709960356755;"1998; 2012; 2018"
